,rouge1_f1,rouge2_f1,rougeL_f1,inference_time,model_size
facebook/bart-large-cnn,0.40184229736886945,0.20365321906044728,0.31209273723991415,0.6825969457626343,1549.875
t5-base,0.3155189934316052,0.1347192499703767,0.23180334302180658,1.1979267954826356,850.3095703125
google/pegasus-cnn_dailymail,0.33248325981222804,0.1427645707791434,0.24355308580105875,1.402855134010315,2177.41796875
sshleifer/distilbart-cnn-12-6,0.362629219541429,0.1698690603069895,0.2996955555403763,0.42964709997177125,1165.4296875
facebook/bart-large-xsum,0.3009754461077165,0.10664466292744187,0.22692523332229722,0.5646681547164917,1549.875
